run_id,strategy_id,peak_date,valley_date,recovery_date,drawdown_pct,days_to_valley,days_to_recover,recovered
DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,2006-02-27,2006-02-28,2006-03-01,-1.6720503032784606,1,2,True
DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,2009-12-24,2009-12-31,2010-01-04,-1.5305872789297847,7,11,True
DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,2004-01-12,2004-01-13,2004-01-14,-1.5135462343462525,1,2,True
DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,2014-02-27,2014-03-03,2014-03-04,-1.4998056182109143,4,5,True
DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,2011-02-14,2011-02-15,2011-02-17,-1.4946042022718986,1,3,True
DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,2004-01-20,2004-01-23,2004-01-26,-1.4916017732456766,3,6,True
DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,2010-04-06,2010-04-07,2010-04-09,-1.483532563319434,1,3,True
DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,2017-11-08,2017-11-15,2017-11-20,-1.4301278119591254,7,12,True
DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,2024-02-12,2024-02-13,2024-02-14,-1.3687425292381095,1,2,True
DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,2003-10-30,2003-10-31,2003-11-03,-1.3432142020086468,1,4,True
DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,2010-12-21,2010-12-28,2011-01-03,-1.330323416310708,7,13,True
DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,2016-11-30,2016-12-01,2016-12-05,-1.3225132855878452,1,5,True
DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,2003-11-04,2003-11-06,2003-11-07,-1.2782569778189923,2,3,True
DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,2015-05-29,2015-06-04,2015-06-10,-1.2381451977706015,6,12,True
DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,2013-10-18,2013-10-28,2013-11-04,-1.2290737760741632,10,17,True
DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,2013-07-26,2013-07-29,2013-08-01,-1.1903300547641438,3,6,True
DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,2014-01-15,2014-01-16,2014-01-22,-1.1277326062760884,1,7,True
DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,2017-10-23,2017-10-25,2017-10-27,-1.112252005110237,2,4,True
DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,2010-03-23,2010-03-31,2010-04-05,-1.0861750260285241,8,13,True
DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,2024-10-14,2024-10-15,2024-10-21,-1.030203701638166,1,7,True
DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,2013-07-22,2013-07-24,2013-07-25,-0.985102635331847,2,3,True
DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,2006-03-15,2006-03-16,2006-03-20,-0.94822068625523,1,5,True
DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,2020-11-30,2020-12-02,2020-12-03,-0.937167705786146,2,3,True
DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,2013-05-15,2013-05-16,2013-05-17,-0.9356451353282447,1,2,True
DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,2012-03-21,2012-03-22,2012-03-26,-0.8433406874515104,1,5,True
